n,hr_com_size,lr_com_size,lr_prop_per_com,degree_dist,deg_dist_param,com_dist_param,max_vaccine_threshold,vacc_strategy,seed,end,peak,peak_hr,peak_lr,dead,dead_hr,dead_lr,rec,rec_hr,rec_lr,vacc,vacc_hr,vacc_lr,imu,imu_hr,imu_lr,never_v,never_v_hr,never_v_lr
750,0.1,0.2,0.1,power_law,2.0,40,0.5,5,2,135,0.20266666666666666,0.148,0.05733333333333333,0.037333333333333336,0.03333333333333333,0.004,0.5133333333333333,0.35733333333333334,0.156,0.3466666666666667,0.22933333333333333,0.11733333333333333,0.86,0.5866666666666667,0.2733333333333333,0.10266666666666667,0.08,0.02266666666666667
750,0.1,0.2,0.1,power_law,2.0,40,0.5,6,0,154,0.12266666666666666,0.088,0.044,0.04133333333333333,0.03866666666666667,0.0026666666666666666,0.44133333333333336,0.284,0.15733333333333333,0.38666666666666666,0.2653333333333333,0.12133333333333333,0.8280000000000001,0.5493333333333332,0.2786666666666667,0.13066666666666665,0.11066666666666666,0.02
750,0.1,0.2,0.1,power_law,2.0,40,0.5,6,1,127,0.20933333333333334,0.168,0.05333333333333334,0.025333333333333333,0.024,0.0013333333333333333,0.536,0.3893333333333333,0.14666666666666667,0.3293333333333333,0.204,0.12533333333333332,0.8653333333333333,0.5933333333333333,0.272,0.10933333333333334,0.08533333333333333,0.024
750,0.1,0.2,0.1,power_law,2.0,40,0.5,6,2,129,0.30133333333333334,0.24533333333333332,0.06666666666666667,0.044,0.03866666666666667,0.005333333333333333,0.5746666666666667,0.404,0.17066666666666666,0.30666666666666664,0.196,0.11066666666666666,0.8813333333333333,0.6000000000000001,0.2813333333333333,0.07466666666666667,0.06133333333333333,0.013333333333333334
750,0.1,0.2,0.1,power_law,2.0,40,0.65,0,0,132,0.444,0.34,0.112,0.068,0.064,0.004,0.8666666666666667,0.5853333333333334,0.2813333333333333,0.0,0.0,0.0,0.8666666666666667,0.5853333333333334,0.2813333333333333,0.06533333333333333,0.04933333333333333,0.016
750,0.1,0.2,0.1,power_law,2.0,40,0.65,0,1,136,0.43066666666666664,0.31066666666666665,0.12133333333333333,0.044,0.04133333333333333,0.0026666666666666666,0.8973333333333333,0.6146666666666667,0.2826666666666667,0.0,0.0,0.0,0.8973333333333333,0.6146666666666667,0.2826666666666667,0.058666666666666666,0.04666666666666667,0.012
750,0.1,0.2,0.1,power_law,2.0,40,0.65,0,2,130,0.41733333333333333,0.30133333333333334,0.11866666666666667,0.06,0.05466666666666667,0.005333333333333333,0.8746666666666667,0.5906666666666667,0.284,0.0,0.0,0.0,0.8746666666666667,0.5906666666666667,0.284,0.06533333333333333,0.05466666666666667,0.010666666666666666
750,0.1,0.2,0.1,power_law,2.0,40,0.65,1,0,159,0.132,0.1,0.037333333333333336,0.03333333333333333,0.032,0.0013333333333333333,0.3933333333333333,0.24933333333333332,0.144,0.4613333333333333,0.332,0.12933333333333333,0.8546666666666667,0.5813333333333334,0.2733333333333333,0.112,0.08533333333333333,0.02666666666666667
750,0.1,0.2,0.1,power_law,2.0,40,0.65,1,1,126,0.23466666666666666,0.172,0.06666666666666667,0.024,0.024,0.0,0.5386666666666666,0.3586666666666667,0.18,0.37466666666666665,0.2653333333333333,0.10933333333333334,0.9133333333333333,0.624,0.28933333333333333,0.06266666666666666,0.05466666666666667,0.008
750,0.1,0.2,0.1,power_law,2.0,40,0.65,1,2,117,0.25733333333333336,0.19066666666666668,0.09466666666666666,0.04,0.034666666666666665,0.005333333333333333,0.5573333333333333,0.34933333333333333,0.208,0.35733333333333334,0.2813333333333333,0.076,0.9146666666666667,0.6306666666666667,0.284,0.04533333333333334,0.034666666666666665,0.010666666666666666
750,0.1,0.2,0.1,power_law,2.0,40,0.65,2,0,130,0.2866666666666667,0.21066666666666667,0.08533333333333333,0.03333333333333333,0.032,0.0013333333333333333,0.5546666666666666,0.37466666666666665,0.18,0.356,0.252,0.104,0.9106666666666666,0.6266666666666667,0.284,0.056,0.04,0.016
750,0.1,0.2,0.1,power_law,2.0,40,0.65,2,1,118,0.26666666666666666,0.20533333333333334,0.06533333333333333,0.02,0.02,0.0,0.56,0.39066666666666666,0.16933333333333334,0.3546666666666667,0.24133333333333334,0.11333333333333333,0.9146666666666667,0.632,0.2826666666666667,0.06533333333333333,0.050666666666666665,0.014666666666666666
750,0.1,0.2,0.1,power_law,2.0,40,0.65,2,2,117,0.292,0.19333333333333333,0.104,0.042666666666666665,0.03866666666666667,0.004,0.5706666666666667,0.38133333333333336,0.18933333333333333,0.332,0.236,0.096,0.9026666666666667,0.6173333333333333,0.2853333333333333,0.05466666666666667,0.044,0.010666666666666666
750,0.1,0.2,0.1,power_law,2.0,40,0.65,3,0,130,0.2613333333333333,0.16133333333333333,0.104,0.034666666666666665,0.03333333333333333,0.0013333333333333333,0.544,0.31866666666666665,0.22533333333333333,0.3586666666666667,0.28933333333333333,0.06933333333333333,0.9026666666666667,0.608,0.29466666666666663,0.06266666666666666,0.05733333333333333,0.005333333333333333
750,0.1,0.2,0.1,power_law,2.0,40,0.65,3,1,131,0.248,0.20133333333333334,0.050666666666666665,0.028,0.02666666666666667,0.0013333333333333333,0.5266666666666666,0.38266666666666665,0.144,0.36933333333333335,0.22933333333333333,0.14,0.8959999999999999,0.612,0.28400000000000003,0.076,0.064,0.012
750,0.1,0.2,0.1,power_law,2.0,40,0.65,3,2,130,0.21866666666666668,0.15066666666666667,0.07733333333333334,0.04,0.036,0.004,0.5066666666666667,0.3413333333333333,0.16533333333333333,0.37733333333333335,0.2653333333333333,0.112,0.8840000000000001,0.6066666666666667,0.2773333333333333,0.076,0.05733333333333333,0.018666666666666668
750,0.1,0.2,0.1,power_law,2.0,40,0.65,4,0,127,0.276,0.204,0.088,0.04,0.037333333333333336,0.0026666666666666666,0.5186666666666667,0.2946666666666667,0.224,0.34933333333333333,0.2906666666666667,0.058666666666666666,0.8680000000000001,0.5853333333333334,0.2826666666666667,0.092,0.076,0.016
750,0.1,0.2,0.1,power_law,2.0,40,0.65,4,1,118,0.27466666666666667,0.204,0.104,0.02266666666666667,0.021333333333333333,0.0013333333333333333,0.596,0.36666666666666664,0.22933333333333333,0.30933333333333335,0.25333333333333335,0.056,0.9053333333333333,0.62,0.2853333333333333,0.072,0.06133333333333333,0.010666666666666666
